month,net_sales
2025-01,10975788.95
2025-02,7611789.3
2025-03,8489590.45
2025-04,43965644.1
2025-05,88470302.6
2025-06,89094694.4
2025-07,83895895.95
2025-08,95193991.25
2025-09,88402002.45
2025-10,86698898.35
2025-11,72752606.6
2025-12,76522801.35
2026-01,71829107.15
2026-02,79388518.05
2026-03,73832604.1
2026-04,37200652.65
2026-05,2934494.9
2026-06,8551293.75
2026-07,6470094.8
2026-08,5024092.0
2026-09,3375995.25
2026-10,5645992.9
2026-11,4452994.05
2026-12,5602091.9
